content,facets,schema_id,source_ref,workspace_id
Tilleuls Appartement A2,"{""name"":""Tilleuls Appartement A2"",""entity_type"":""unit"",""entity_id"":""101"",""confidence"":1,""building_id"":1,""building"":""Résidence Les Tilleuls"",""block_id"":10,""block"":""A"",""floor"":0,""lot"":""A2"",""door_label"":""A-00-02"",""bedrooms"":1,""tantiemes"":180,""quota_basis"":1000,""usage_status"":""owner_occupied"",""external_id"":""vmXYu4GFh8qN3byIj28KP"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:unit,unit:unit:101,immeuble
Tilleuls Appartement A3,"{""name"":""Tilleuls Appartement A3"",""entity_type"":""unit"",""entity_id"":""102"",""confidence"":1,""building_id"":1,""building"":""Résidence Les Tilleuls"",""block_id"":10,""block"":""A"",""floor"":1,""lot"":""A3"",""door_label"":""A-01-01"",""bedrooms"":3,""tantiemes"":220,""quota_basis"":1000,""usage_status"":""owner_occupied"",""external_id"":""3KnMKciQQPmOBvkEs023K"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:unit,unit:unit:102,immeuble
Tilleuls Appartement A4,"{""name"":""Tilleuls Appartement A4"",""entity_type"":""unit"",""entity_id"":""103"",""confidence"":1,""building_id"":1,""building"":""Résidence Les Tilleuls"",""block_id"":10,""block"":""A"",""floor"":1,""lot"":""A4"",""door_label"":""A-01-02"",""bedrooms"":1,""tantiemes"":190,""quota_basis"":1000,""usage_status"":""tenant_occupied"",""external_id"":""xIJUDMOPEVFHcv-z8AG2I"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:unit,unit:unit:103,immeuble
Tilleuls Appartement A5,"{""name"":""Tilleuls Appartement A5"",""entity_type"":""unit"",""entity_id"":""104"",""confidence"":1,""building_id"":1,""building"":""Résidence Les Tilleuls"",""block_id"":10,""block"":""A"",""floor"":2,""lot"":""A5"",""door_label"":""A-02-01"",""bedrooms"":3,""tantiemes"":220,""quota_basis"":1000,""usage_status"":""owner_occupied"",""external_id"":""7SRKffKR419-V_SskpfjP"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:unit,unit:unit:104,immeuble
Érables Appartement A1,"{""name"":""Érables Appartement A1"",""entity_type"":""unit"",""entity_id"":""110"",""confidence"":1,""building_id"":2,""building"":""Résidence Les Érables"",""block_id"":20,""block"":""A"",""floor"":0,""lot"":""A1"",""door_label"":""A-00-01"",""bedrooms"":2,""tantiemes"":120,""quota_basis"":1000,""usage_status"":""owner_occupied"",""external_id"":""fgFQMnVpB1TxFXV8FZL2P"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:unit,unit:unit:110,immeuble
Érables Appartement A2,"{""name"":""Érables Appartement A2"",""entity_type"":""unit"",""entity_id"":""111"",""confidence"":1,""building_id"":2,""building"":""Résidence Les Érables"",""block_id"":20,""block"":""A"",""floor"":0,""lot"":""A2"",""door_label"":""A-00-02"",""bedrooms"":2,""tantiemes"":125,""quota_basis"":1000,""usage_status"":""tenant_occupied"",""external_id"":""A3psvxH96t1DIOYB9Z--0"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:unit,unit:unit:111,immeuble
Érables Appartement A3,"{""name"":""Érables Appartement A3"",""entity_type"":""unit"",""entity_id"":""112"",""confidence"":1,""building_id"":2,""building"":""Résidence Les Érables"",""block_id"":20,""block"":""A"",""floor"":1,""lot"":""A3"",""door_label"":""A-01-01"",""bedrooms"":1,""tantiemes"":125,""quota_basis"":1000,""usage_status"":""owner_occupied"",""external_id"":""xuXi4JSAIwE1QJo_vWC03"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:unit,unit:unit:112,immeuble
Érables Appartement A4,"{""name"":""Érables Appartement A4"",""entity_type"":""unit"",""entity_id"":""113"",""confidence"":1,""building_id"":2,""building"":""Résidence Les Érables"",""block_id"":20,""block"":""A"",""floor"":1,""lot"":""A4"",""door_label"":""A-01-02"",""bedrooms"":3,""tantiemes"":130,""quota_basis"":1000,""usage_status"":""vacant_works"",""external_id"":""ZIU4SLPLwZWsjvlyMQo7q"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:unit,unit:unit:113,immeuble
Érables Appartement B1,"{""name"":""Érables Appartement B1"",""entity_type"":""unit"",""entity_id"":""120"",""confidence"":1,""building_id"":2,""building"":""Résidence Les Érables"",""block_id"":21,""block"":""B"",""floor"":0,""lot"":""B1"",""door_label"":""B-00-01"",""bedrooms"":2,""tantiemes"":120,""quota_basis"":1000,""usage_status"":""owner_occupied"",""external_id"":""DXEhBrXtcBCwj5ghx8GZZ"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:unit,unit:unit:120,immeuble
Érables Appartement B2,"{""name"":""Érables Appartement B2"",""entity_type"":""unit"",""entity_id"":""121"",""confidence"":1,""building_id"":2,""building"":""Résidence Les Érables"",""block_id"":21,""block"":""B"",""floor"":0,""lot"":""B2"",""door_label"":""B-00-02"",""bedrooms"":2,""tantiemes"":125,""quota_basis"":1000,""usage_status"":""tenant_occupied"",""external_id"":""8pw_ZQiMzudKKUbgpKUEr"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:unit,unit:unit:121,immeuble
Érables Appartement B3,"{""name"":""Érables Appartement B3"",""entity_type"":""unit"",""entity_id"":""122"",""confidence"":1,""building_id"":2,""building"":""Résidence Les Érables"",""block_id"":21,""block"":""B"",""floor"":1,""lot"":""B3"",""door_label"":""B-01-01"",""bedrooms"":2,""tantiemes"":125,""quota_basis"":1000,""usage_status"":""tenant_occupied"",""external_id"":""oI_mcy_jYCmw_ZW2JlVH1"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:unit,unit:unit:122,immeuble
Érables Appartement B4,"{""name"":""Érables Appartement B4"",""entity_type"":""unit"",""entity_id"":""123"",""confidence"":1,""building_id"":2,""building"":""Résidence Les Érables"",""block_id"":21,""block"":""B"",""floor"":1,""lot"":""B4"",""door_label"":""B-01-02"",""bedrooms"":4,""tantiemes"":130,""quota_basis"":1000,""usage_status"":""owner_abroad_tenant"",""external_id"":""1_nBrCoZqSUOUxV8_QM9N"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:unit,unit:unit:123,immeuble
Tilleuls Appartement A1 Cave,"{""name"":""Tilleuls Appartement A1 Cave"",""entity_type"":""cellar"",""entity_id"":""500"",""confidence"":1,""building_id"":1,""lot"":""A1"",""block"":""A"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:cellar,cellar:cellar:500,immeuble
Tilleuls Appartement A2 Cave,"{""name"":""Tilleuls Appartement A2 Cave"",""entity_type"":""cellar"",""entity_id"":""501"",""confidence"":1,""building_id"":1,""lot"":""A2"",""block"":""A"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:cellar,cellar:cellar:501,immeuble
Tilleuls Appartement A3 Cave,"{""name"":""Tilleuls Appartement A3 Cave"",""entity_type"":""cellar"",""entity_id"":""502"",""confidence"":1,""building_id"":1,""lot"":""A3"",""block"":""A"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:cellar,cellar:cellar:502,immeuble
Tilleuls Appartement A4 Cave,"{""name"":""Tilleuls Appartement A4 Cave"",""entity_type"":""cellar"",""entity_id"":""503"",""confidence"":1,""building_id"":1,""lot"":""A4"",""block"":""A"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:cellar,cellar:cellar:503,immeuble
Tilleuls Appartement A5 Cave,"{""name"":""Tilleuls Appartement A5 Cave"",""entity_type"":""cellar"",""entity_id"":""504"",""confidence"":1,""building_id"":1,""lot"":""A5"",""block"":""A"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:cellar,cellar:cellar:504,immeuble
Érables Appartement A1 Cave,"{""name"":""Érables Appartement A1 Cave"",""entity_type"":""cellar"",""entity_id"":""505"",""confidence"":1,""building_id"":2,""lot"":""A1"",""block"":""A"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:cellar,cellar:cellar:505,immeuble
Érables Appartement A2 Cave,"{""name"":""Érables Appartement A2 Cave"",""entity_type"":""cellar"",""entity_id"":""506"",""confidence"":1,""building_id"":2,""lot"":""A2"",""block"":""A"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:cellar,cellar:cellar:506,immeuble
Érables Appartement A3 Cave,"{""name"":""Érables Appartement A3 Cave"",""entity_type"":""cellar"",""entity_id"":""507"",""confidence"":1,""building_id"":2,""lot"":""A3"",""block"":""A"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:cellar,cellar:cellar:507,immeuble
Érables Appartement A4 Cave,"{""name"":""Érables Appartement A4 Cave"",""entity_type"":""cellar"",""entity_id"":""508"",""confidence"":1,""building_id"":2,""lot"":""A4"",""block"":""A"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:cellar,cellar:cellar:508,immeuble
Érables Appartement B1 Cave,"{""name"":""Érables Appartement B1 Cave"",""entity_type"":""cellar"",""entity_id"":""509"",""confidence"":1,""building_id"":2,""lot"":""B1"",""block"":""B"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:cellar,cellar:cellar:509,immeuble
Érables Appartement B2 Cave,"{""name"":""Érables Appartement B2 Cave"",""entity_type"":""cellar"",""entity_id"":""510"",""confidence"":1,""building_id"":2,""lot"":""B2"",""block"":""B"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:cellar,cellar:cellar:510,immeuble
Érables Appartement B3 Cave,"{""name"":""Érables Appartement B3 Cave"",""entity_type"":""cellar"",""entity_id"":""511"",""confidence"":1,""building_id"":2,""lot"":""B3"",""block"":""B"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:cellar,cellar:cellar:511,immeuble
Érables Appartement B4 Cave,"{""name"":""Érables Appartement B4 Cave"",""entity_type"":""cellar"",""entity_id"":""512"",""confidence"":1,""building_id"":2,""lot"":""B4"",""block"":""B"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:cellar,cellar:cellar:512,immeuble
Tilleuls Appartement A1 Garage,"{""name"":""Tilleuls Appartement A1 Garage"",""entity_type"":""parking_space"",""entity_id"":""600"",""confidence"":1,""building_id"":1,""lot"":""A1"",""block"":""A"",""parking_kind"":""garage_box"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:parking_space,parking_space:parking_space:600,immeuble
Tilleuls Appartement A3 Garage,"{""name"":""Tilleuls Appartement A3 Garage"",""entity_type"":""parking_space"",""entity_id"":""602"",""confidence"":1,""building_id"":1,""lot"":""A3"",""block"":""A"",""parking_kind"":""garage_box"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:parking_space,parking_space:parking_space:602,immeuble
Tilleuls Appartement A5 Garage,"{""name"":""Tilleuls Appartement A5 Garage"",""entity_type"":""parking_space"",""entity_id"":""604"",""confidence"":1,""building_id"":1,""lot"":""A5"",""block"":""A"",""parking_kind"":""garage_box"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:parking_space,parking_space:parking_space:604,immeuble
Érables Appartement A1 Garage,"{""name"":""Érables Appartement A1 Garage"",""entity_type"":""parking_space"",""entity_id"":""605"",""confidence"":1,""building_id"":2,""lot"":""A1"",""block"":""A"",""parking_kind"":""garage_box"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:parking_space,parking_space:parking_space:605,immeuble
Érables Appartement A4 Garage,"{""name"":""Érables Appartement A4 Garage"",""entity_type"":""parking_space"",""entity_id"":""608"",""confidence"":1,""building_id"":2,""lot"":""A4"",""block"":""A"",""parking_kind"":""garage_box"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:parking_space,parking_space:parking_space:608,immeuble
Érables Appartement B1 Garage,"{""name"":""Érables Appartement B1 Garage"",""entity_type"":""parking_space"",""entity_id"":""609"",""confidence"":1,""building_id"":2,""lot"":""B1"",""block"":""B"",""parking_kind"":""garage_box"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:parking_space,parking_space:parking_space:609,immeuble
Érables Appartement B4 Garage,"{""name"":""Érables Appartement B4 Garage"",""entity_type"":""parking_space"",""entity_id"":""612"",""confidence"":1,""building_id"":2,""lot"":""B4"",""block"":""B"",""parking_kind"":""garage_box"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:parking_space,parking_space:parking_space:612,immeuble
Tilleuls Appartement A1 Jardin privatif,"{""name"":""Tilleuls Appartement A1 Jardin privatif"",""entity_type"":""private_garden"",""entity_id"":""700"",""confidence"":1,""building_id"":1,""lot"":""A1"",""block"":""A"",""exclusive_use"":true,""source"":""fake_data"",""ontology"":""core""}",immeuble:core:private_garden,private_garden:private_garden:700,immeuble
Tilleuls Appartement A2 Jardin privatif,"{""name"":""Tilleuls Appartement A2 Jardin privatif"",""entity_type"":""private_garden"",""entity_id"":""701"",""confidence"":1,""building_id"":1,""lot"":""A2"",""block"":""A"",""exclusive_use"":true,""source"":""fake_data"",""ontology"":""core""}",immeuble:core:private_garden,private_garden:private_garden:701,immeuble
Érables Appartement A1 Jardin privatif,"{""name"":""Érables Appartement A1 Jardin privatif"",""entity_type"":""private_garden"",""entity_id"":""705"",""confidence"":1,""building_id"":2,""lot"":""A1"",""block"":""A"",""exclusive_use"":true,""source"":""fake_data"",""ontology"":""core""}",immeuble:core:private_garden,private_garden:private_garden:705,immeuble
Érables Appartement A2 Jardin privatif,"{""name"":""Érables Appartement A2 Jardin privatif"",""entity_type"":""private_garden"",""entity_id"":""706"",""confidence"":1,""building_id"":2,""lot"":""A2"",""block"":""A"",""exclusive_use"":true,""source"":""fake_data"",""ontology"":""core""}",immeuble:core:private_garden,private_garden:private_garden:706,immeuble
Érables Appartement B1 Jardin privatif,"{""name"":""Érables Appartement B1 Jardin privatif"",""entity_type"":""private_garden"",""entity_id"":""709"",""confidence"":1,""building_id"":2,""lot"":""B1"",""block"":""B"",""exclusive_use"":true,""source"":""fake_data"",""ontology"":""core""}",immeuble:core:private_garden,private_garden:private_garden:709,immeuble
Érables Appartement B2 Jardin privatif,"{""name"":""Érables Appartement B2 Jardin privatif"",""entity_type"":""private_garden"",""entity_id"":""710"",""confidence"":1,""building_id"":2,""lot"":""B2"",""block"":""B"",""exclusive_use"":true,""source"":""fake_data"",""ontology"":""core""}",immeuble:core:private_garden,private_garden:private_garden:710,immeuble
Syndic Horizon Gestion,"{""name"":""Syndic Horizon Gestion"",""entity_type"":""organization"",""entity_id"":""200"",""confidence"":1,""role"":""syndic"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:organization,organization:organization:200,immeuble
ACP Résidence Les Tilleuls,"{""name"":""ACP Résidence Les Tilleuls"",""entity_type"":""organization"",""entity_id"":""201"",""confidence"":1,""role"":""association_coproprietaires"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:organization,organization:organization:201,immeuble
ACP Résidence Les Érables,"{""name"":""ACP Résidence Les Érables"",""entity_type"":""organization"",""entity_id"":""202"",""confidence"":1,""role"":""association_coproprietaires"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:organization,organization:organization:202,immeuble
Immo Invest SRL,"{""name"":""Immo Invest SRL"",""entity_type"":""organization"",""entity_id"":""203"",""confidence"":1,""role"":""investor_landlord"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:organization,organization:organization:203,immeuble
Patrimoine Nord SRL,"{""name"":""Patrimoine Nord SRL"",""entity_type"":""organization"",""entity_id"":""204"",""confidence"":1,""role"":""investor_landlord"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:organization,organization:organization:204,immeuble
Marie Lambert,"{""name"":""Marie Lambert"",""entity_type"":""person"",""entity_id"":""210"",""confidence"":1,""role"":""comptable"",""age_band"":""40-49"",""external_id"":""X7KkmZgkst1XwsvPIg-MG"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:210,immeuble
Henri Dupont,"{""name"":""Henri Dupont"",""entity_type"":""person"",""entity_id"":""211"",""confidence"":1,""age_band"":""75-84"",""household_role"":""conjoint"",""external_id"":""2D60GDt6y8b8O9mcYBtNT"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:211,immeuble
Madeleine Dupont,"{""name"":""Madeleine Dupont"",""entity_type"":""person"",""entity_id"":""212"",""confidence"":1,""age_band"":""75-84"",""household_role"":""conjoint"",""external_id"":""nSy1zdKLkQ958E4W1_W7A"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:212,immeuble
Nicolas Dupont,"{""name"":""Nicolas Dupont"",""entity_type"":""person"",""entity_id"":""213"",""confidence"":1,""age_band"":""45-54"",""household_role"":""parent"",""external_id"":""05KWFvM7LKa_RGYHl8IEo"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:213,immeuble
Pauline Dupont,"{""name"":""Pauline Dupont"",""entity_type"":""person"",""entity_id"":""214"",""confidence"":1,""age_band"":""45-54"",""household_role"":""parent"",""external_id"":""ncIoD7jCVe5pN-dE4nyEk"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:214,immeuble
Lina Dupont,"{""name"":""Lina Dupont"",""entity_type"":""person"",""entity_id"":""215"",""confidence"":1,""age_band"":""10-17"",""household_role"":""enfant"",""external_id"":""vbqG9x0tykjc7pX7F7o3B"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:215,immeuble
Tom Dupont,"{""name"":""Tom Dupont"",""entity_type"":""person"",""entity_id"":""216"",""confidence"":1,""age_band"":""6-9"",""household_role"":""enfant"",""external_id"":""yfc2viE5ZdI_PTgOb6-0m"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:216,immeuble
Sofia Martin,"{""name"":""Sofia Martin"",""entity_type"":""person"",""entity_id"":""217"",""confidence"":1,""age_band"":""30-39"",""household_role"":""single"",""external_id"":""VGPn1XBMYeOSv4MSKzAPA"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:217,immeuble
Karim Benali,"{""name"":""Karim Benali"",""entity_type"":""person"",""entity_id"":""218"",""confidence"":1,""age_band"":""30-39"",""household_role"":""single"",""external_id"":""opTm2eaf8XczBjlIQIP37"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:218,immeuble
Lena Peeters,"{""name"":""Lena Peeters"",""entity_type"":""person"",""entity_id"":""219"",""confidence"":1,""age_band"":""35-44"",""household_role"":""parent"",""external_id"":""HEYQaoeGTgQ00-STMC562"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:219,immeuble
Noah De Smet,"{""name"":""Noah De Smet"",""entity_type"":""person"",""entity_id"":""220"",""confidence"":1,""age_band"":""35-44"",""household_role"":""parent"",""external_id"":""mTIlRXrhbep1tQYkaTZNm"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:220,immeuble
Mila De Smet,"{""name"":""Mila De Smet"",""entity_type"":""person"",""entity_id"":""221"",""confidence"":1,""age_band"":""0-5"",""household_role"":""enfant"",""external_id"":""W9a9QrEHhVj7AqeXvGheV"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:221,immeuble
Alice Bernard,"{""name"":""Alice Bernard"",""entity_type"":""person"",""entity_id"":""222"",""confidence"":1,""age_band"":""55-64"",""household_role"":""single"",""external_id"":""ERcWPojZzTDboi6_nEfju"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:222,immeuble
Marc Legrand,"{""name"":""Marc Legrand"",""entity_type"":""person"",""entity_id"":""223"",""confidence"":1,""age_band"":""40-49"",""household_role"":""parent"",""external_id"":""IAeZtBDZ887MQrnK6dcio"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:223,immeuble
Eva Legrand,"{""name"":""Eva Legrand"",""entity_type"":""person"",""entity_id"":""224"",""confidence"":1,""age_band"":""40-49"",""household_role"":""parent"",""external_id"":""roF0UhYuTqkm9SkF-EqRf"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:224,immeuble
Nora Legrand,"{""name"":""Nora Legrand"",""entity_type"":""person"",""entity_id"":""225"",""confidence"":1,""age_band"":""10-17"",""household_role"":""enfant"",""external_id"":""SV2zNjPCWRH-Mo6z8_IdJ"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:225,immeuble
Victor Moreau,"{""name"":""Victor Moreau"",""entity_type"":""person"",""entity_id"":""226"",""confidence"":1,""age_band"":""30-39"",""household_role"":""single"",""external_id"":""VgKIcvYiLx8ZDl9LlO_8-"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:226,immeuble
Claire Dubois,"{""name"":""Claire Dubois"",""entity_type"":""person"",""entity_id"":""227"",""confidence"":1,""age_band"":""30-39"",""household_role"":""single"",""external_id"":""-JqJfp8w67gQrNcAu2EWb"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:227,immeuble
Fatima El Idrissi,"{""name"":""Fatima El Idrissi"",""entity_type"":""person"",""entity_id"":""228"",""confidence"":1,""age_band"":""35-44"",""household_role"":""parent"",""external_id"":""Y-9BOeXohcU87Qv6vfC2n"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:228,immeuble
Samir El Idrissi,"{""name"":""Samir El Idrissi"",""entity_type"":""person"",""entity_id"":""229"",""confidence"":1,""age_band"":""35-44"",""household_role"":""parent"",""external_id"":""t_hrPJLAfbEHpAoZQKlZm"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:229,immeuble
Yanis El Idrissi,"{""name"":""Yanis El Idrissi"",""entity_type"":""person"",""entity_id"":""230"",""confidence"":1,""age_band"":""6-9"",""household_role"":""enfant"",""external_id"":""8sydsl2uzyCYS0umtGZE3"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:230,immeuble
Amel El Idrissi,"{""name"":""Amel El Idrissi"",""entity_type"":""person"",""entity_id"":""231"",""confidence"":1,""age_band"":""0-5"",""household_role"":""enfant"",""external_id"":""otZGubeyxocs2qu7bbk7y"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:231,immeuble
Olivier Renard,"{""name"":""Olivier Renard"",""entity_type"":""person"",""entity_id"":""232"",""confidence"":1,""age_band"":""45-54"",""household_role"":""usufruitier"",""external_id"":""RpBX13G9bbkKKjYqHtpMS"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:232,immeuble
Julie Renard,"{""name"":""Julie Renard"",""entity_type"":""person"",""entity_id"":""233"",""confidence"":1,""age_band"":""18-24"",""household_role"":""nu_proprietaire"",""external_id"":""zlaoEs7LmUQAXTu6-UoaY"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:233,immeuble
Marta Rossi,"{""name"":""Marta Rossi"",""entity_type"":""person"",""entity_id"":""234"",""confidence"":1,""age_band"":""65-74"",""household_role"":""owner_abroad"",""external_id"":""z-VEg_SAKSufP8GPe-DAd"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:234,immeuble
Thomas Klein,"{""name"":""Thomas Klein"",""entity_type"":""person"",""entity_id"":""235"",""confidence"":1,""age_band"":""35-44"",""household_role"":""tenant"",""external_id"":""7D-E8sJPMupsjxZB5XG7U"",""source"":""fake_data"",""ontology"":""core""}",immeuble:core:person,person:person:235,immeuble
